"","model","year","price","transmission","mileage","fuelType","tax","mpg","engineSize","manufacturer"
"1"," A5",2017,19500,"Automatic",33300,"Diesel",145,61.4,2,"Audi"
"2"," Q3",2016,17200,"Automatic",39603,"Diesel",160,50.4,2,"Audi"
"3"," A5",2014,13200,"Automatic",83872,"Diesel",125,58.9,2,"Audi"
"4"," A4",2017,14400,"Automatic",32097,"Diesel",145,72.4,2,"Audi"
"5"," Q3",2017,21800,"Automatic",19319,"Petrol",145,40.4,2,"Audi"
"6"," A6",2017,16200,"Manual",22582,"Diesel",145,61.4,2,"Audi"
"7"," Q3",2016,16100,"Manual",16666,"Diesel",30,60.1,2,"Audi"
"8"," A3",2016,11300,"Manual",25626,"Diesel",0,74.3,1.6,"Audi"
"9"," Q3",2017,15600,"Manual",36714,"Petrol",125,51.4,1.4,"Audi"
"10"," Q3",2019,28000,"Manual",4000,"Diesel",145,42.8,2,"Audi"
"11"," A1",2016,10500,"Manual",18272,"Petrol",0,67.3,1,"Audi"
"12"," A6",2017,19800,"Automatic",42071,"Diesel",30,61.4,2,"Audi"
"13"," A4",2017,16800,"Automatic",39388,"Diesel",145,67.3,2,"Audi"
"14"," A6",2016,14700,"Manual",72967,"Diesel",30,61.4,2,"Audi"
"15"," Q3",2016,15500,"Automatic",11863,"Diesel",160,50.4,2,"Audi"
"16"," A5",2017,20000,"Automatic",44783,"Diesel",145,62.8,2,"Audi"
"17"," Q3",2018,19100,"Automatic",42209,"Petrol",145,42.2,2,"Audi"
"18"," Q3",2014,11698,"Manual",65959,"Diesel",160,49.6,2,"Audi"
"19"," A1",2017,13495,"Manual",34554,"Petrol",150,55.4,1.4,"Audi"
"20"," Q5",2017,30985,"Semi-Auto",17502,"Petrol",145,40.4,2,"Audi"
"21"," RS6",2016,44985,"Semi-Auto",49050,"Petrol",325,29.4,4,"Audi"
"22"," Q2",2019,20985,"Automatic",3422,"Diesel",145,47.9,1.6,"Audi"
"23"," A4",2019,27985,"Semi-Auto",7299,"Petrol",145,38.2,2,"Audi"
"24"," Q5",2020,47895,"Semi-Auto",10,"Petrol",145,30.7,2,"Audi"
"25"," A1",2015,12485,"Semi-Auto",26625,"Petrol",30,57.6,1.4,"Audi"
"26"," A6",2019,46985,"Automatic",3510,"Diesel",145,36.2,3,"Audi"
"27"," A4",2016,17998,"Manual",20885,"Diesel",30,64.2,2,"Audi"
"28"," Q3",2019,31985,"Manual",10,"Diesel",145,42.8,2,"Audi"
"29"," A3",2017,18998,"Semi-Auto",22295,"Petrol",30,56.5,1.4,"Audi"
"30"," Q5",2019,31998,"Semi-Auto",100,"Petrol",145,33.2,2,"Audi"
"31"," Q5",2019,31998,"Semi-Auto",10,"Petrol",145,33.2,2,"Audi"
"32"," Q3",2018,19485,"Manual",7157,"Petrol",145,51.4,1.4,"Audi"
"33"," A3",2017,25000,"Semi-Auto",16703,"Petrol",200,41.5,2,"Audi"
"34"," A4",2019,25990,"Semi-Auto",5987,"Petrol",145,38.2,2,"Audi"
